actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
584,87600,-0.47652066,-0.29777482,-0.29782525,-0.16717876,150,0.0,1.1575357,0.9996088,1.0074009,0.8726714,0.681015,0.70183396,0.7095756,0.70549273,0.67854995,0.70183396,0.7095756,0.64560366,24.953079038731584,0.0,0.0
592,88800,-0.34196883,-0.2893778,-0.29644078,-0.16868326,150,0.0,1.0503834,1.000282,1.0058563,0.8743922,0.7084146,0.71090424,0.7094156,0.7057089,0.7084146,0.71058196,0.70938325,0.646621,25.425497658647487,0.0,0.0
600,90000,-0.26717198,-0.29801932,-0.2955514,-0.17021126,150,0.0,0.9856213,0.9867322,1.0039818,0.87575465,0.7184493,0.68871284,0.70843035,0.7055434,0.7184493,0.68871284,0.7083981,0.64724064,25.075890822119916,0.0,0.0
608,91200,-0.28470832,-0.1918267,-0.283969,-0.17010407,150,0.0,1.0005845,0.8765787,0.98957217,0.87542844,0.71587616,0.6847521,0.7056031,0.70532435,0.71587616,0.68003935,0.70509964,0.647709,23.165246445298173,0.0,0.0
616,92400,-0.3331225,-0.24039264,-0.28187755,-0.17140475,150,0.0,1.0115895,0.94415236,0.9894963,0.8768099,0.67846704,0.7037598,0.7076187,0.7054052,0.6782859,0.703611,0.7071003,0.6485332,25.043928189203253,0.0,0.0
624,93600,-0.26526165,-0.27320084,-0.28009614,-0.17279401,150,0.0,0.9684318,0.9899969,0.98721266,0.87824064,0.7031701,0.71679604,0.70711654,0.7054466,0.7031701,0.7160407,0.70653707,0.6492917,23.23166435037679,0.0,0.0
632,94800,-0.17458963,-0.27453396,-0.27953193,-0.17408413,150,0.0,0.9008525,0.9804595,0.98517257,0.8795524,0.72626287,0.7059256,0.70564073,0.7054683,0.72626287,0.70494324,0.7050149,0.6500147,23.41719986469554,0.0,0.0
640,96000,-0.33230102,-0.2673381,-0.27425086,-0.1749395,150,0.0,1.0203546,0.98258513,0.98178947,0.8806264,0.6880536,0.71524704,0.70753866,0.70568687,0.6863786,0.71467435,0.70685595,0.6509154,25.120768394638112,0.0,0.0
648,97200,-0.27159232,-0.2627551,-0.27242732,-0.17600068,150,0.0,0.96295786,0.9502228,0.97774553,0.8814904,0.69136554,0.6874677,0.7053182,0.7054897,0.69136554,0.68727577,0.7046163,0.6513894,25.54323655918606,0.0,0.0
656,98400,-0.20755064,-0.27193943,-0.27010882,-0.17712356,150,0.0,0.88858956,0.9714718,0.97427064,0.8825382,0.6810389,0.6995324,0.7041617,0.70541465,0.6810348,0.699216,0.7034282,0.65196735,25.3137800064843,0.0,0.0
664,99600,-0.34130037,-0.26910043,-0.26784682,-0.17831361,150,0.0,1.0116199,0.9794014,0.97274363,0.8837654,0.67031956,0.710301,0.70489675,0.7054518,0.67031956,0.7094322,0.7040988,0.65263677,25.24328048183045,0.0,0.0
672,100800,-0.36546272,-0.28507107,-0.26477566,-0.1793747,150,0.0,1.1019942,0.9883102,0.9692585,0.8847541,0.73653144,0.7032391,0.70448285,0.7053794,0.73653144,0.70234907,0.7036602,0.65318763,25.34407700367146,0.0,0.0
680,102000,-0.3124103,-0.25721416,-0.26374838,-0.18057983,150,0.0,0.9906026,0.9658307,0.96785855,0.88588893,0.6781923,0.7086166,0.7041102,0.7053092,0.6781923,0.7083458,0.70326096,0.6537257,24.921849066379767,0.0,0.0
688,103200,-0.2774787,-0.24608238,-0.26090693,-0.18126787,150,0.0,0.9518681,0.9451238,0.9641186,0.8865408,0.6743894,0.6990414,0.7032117,0.7052728,0.6691534,0.69856286,0.7023643,0.65428305,23.149563674678856,0.0,0.0
696,104400,-0.19678801,-0.2441071,-0.2591182,-0.18206145,150,0.0,0.9624164,0.9574045,0.96273285,0.8874399,0.7656284,0.7132974,0.70361483,0.7053785,0.7656284,0.71243083,0.7026904,0.65496194,25.220508114514214,0.0,0.0
704,105600,-0.18432713,-0.25166565,-0.25760493,-0.18291038,150,0.0,0.90672696,0.9719885,0.9633034,0.8883769,0.72239983,0.7203228,0.70569855,0.7054665,0.7221898,0.7195738,0.70517045,0.6556108,25.044133553299176,0.0,0.0
712,106800,-0.23754513,-0.25831503,-0.26303673,-0.18382648,150,0.0,1.0085152,0.9721503,0.97049,0.8893453,0.7709701,0.71383524,0.70745325,0.7055188,0.76891685,0.7136702,0.7069233,0.6562213,23.210559076054285,0.0,0.0
720,108000,-0.29524833,-0.29889745,-0.26493952,-0.18507773,150,0.0,0.9523312,1.0144799,0.97236913,0.8907476,0.65708286,0.7155825,0.70742965,0.7056699,0.65708286,0.71498,0.7068588,0.65691024,25.062047075469895,0.0,0.0
728,109200,-0.28005832,-0.2535321,-0.26496717,-0.1857809,150,0.0,0.9562855,0.9506186,0.9704307,0.8913462,0.67622715,0.6970865,0.70546347,0.70556533,0.67622715,0.69638896,0.7049326,0.6573359,25.092321564288163,0.0,0.0
736,110400,-0.21518236,-0.30659264,-0.26793206,-0.18716875,150,0.0,0.9697875,0.99792117,0.9718168,0.8925719,0.7546051,0.69132864,0.7038847,0.70540315,0.7546051,0.69099,0.7034062,0.6576937,25.54843428605586,0.0,0.0
744,111600,-0.27489227,-0.26932073,-0.26821575,-0.18783711,150,0.0,0.9415434,0.9729417,0.97227174,0.89320576,0.6666511,0.70362085,0.704056,0.70536864,0.6666511,0.70295095,0.7035643,0.6581646,25.14781816219587,0.0,0.0
752,112800,-0.25150132,-0.33288127,-0.27578363,-0.18961576,150,0.0,0.96256095,1.0269672,0.9792137,0.89485896,0.71105963,0.69408584,0.7034302,0.7052432,0.71105963,0.6939092,0.70293474,0.6585393,25.19968633050348,0.0,0.0
760,114000,-0.2855355,-0.33492237,-0.27841175,-0.19083767,150,0.0,0.9650278,1.0375955,0.9836602,0.89616364,0.6794923,0.7026732,0.7052485,0.70532596,0.6794923,0.7022771,0.7047451,0.6591072,25.316139082122888,0.0,0.0
768,115200,-0.29237145,-0.27569613,-0.2748378,-0.19150747,150,0.0,0.9448395,0.98839206,0.9809898,0.8969236,0.652468,0.71269596,0.706152,0.70541614,0.652468,0.71209735,0.70570403,0.65967405,23.308102933510963,0.0,0.0
776,116400,-0.30112976,-0.28469497,-0.27645808,-0.19239359,150,0.0,0.9692501,0.9747847,0.98004794,0.8976157,0.6681203,0.6900897,0.7035897,0.705222,0.6675164,0.69004095,0.70315194,0.65994966,23.275047579798013,0.0,0.0
784,117600,-0.26841766,-0.25985947,-0.27692008,-0.19316885,150,0.0,0.9605301,0.9459964,0.9797524,0.8981342,0.69211245,0.6861369,0.70283216,0.7049653,0.69211245,0.68601924,0.70242155,0.6601522,25.174504169037483,0.0,0.0
792,118800,-0.22742361,-0.26325548,-0.27841544,-0.19381218,150,0.0,0.9216375,0.95096695,0.9802749,0.8986349,0.69421387,0.68771136,0.70185953,0.7048226,0.69421387,0.68756306,0.70152086,0.6604593,25.04262729587051,0.0,0.0
800,120000,-0.24675882,-0.24770825,-0.27683178,-0.19449198,150,0.0,0.92295164,0.9673891,0.97876596,0.8994394,0.6761928,0.71968085,0.70193404,0.70494735,0.6761928,0.71903354,0.70155966,0.6610185,25.173907845287278,0.0,0.0
