actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
217540,646.2753,2294960,0.9977803,0.9713135,0.105788454,-5.559119,366436,4106200,35116,40477.58155608177,-1992.7319,-0.08300942,2.2526183,90.634192128562
217641,649.9404,2295970,0.9978082,0.9729614,0.096871756,-2.482863,366597,4107810,35131,40488.09674668312,-2025.3108,-0.083204105,1.8603837,92.23891947650675
217732,667.0319,2296880,0.99771976,0.96875,0.12034356,-3.762618,366751,4109350,35146,40498.760444164276,-2055.1184,-0.08429985,3.367444,92.33905697950131
217835,594.99365,2297910,0.997751,0.9696045,0.106648244,-3.3405027,366910,4110940,35161,40509.22098302841,-1821.8069,-0.09491755,1.9942759,92.63981916224495
217924,608.78815,2298800,0.9977753,0.97229004,0.09063249,-4.311476,367064,4112480,35176,40519.70667266846,-1893.9225,-0.07196274,1.1129082,92.76239790227093
218025,637.3788,2299810,0.9977889,0.9727783,0.10259473,-4.3047485,367223,4114070,35191,40530.208559036255,-1966.8446,-0.08134152,1.7068993,92.42438951665743
218116,623.2417,2300720,0.99777937,0.9723511,0.09724633,-5.475557,367384,4115680,35206,40540.73747253418,-1977.9484,-0.082743555,1.5171471,90.4242323797936
218218,624.6759,2301740,0.997803,0.9741821,0.09452219,-5.914215,367535,4117190,35221,40551.21175003052,-1999.6548,-0.08381377,1.8607794,92.32476552985318
218306,633.4527,2302620,0.9977753,0.9736328,0.105984956,-5.2295713,367680,4118640,35236,40561.67269349098,-1984.7997,-0.07913227,2.8004453,89.82836682210544
218410,639.1355,2303660,0.99781275,0.97314453,0.099351496,-5.7813635,367849,4120330,35251,40572.12397861481,-2011.1863,-0.08101093,2.1378124,88.60197552347147
218500,663.6743,2304560,0.9977641,0.9680176,0.111513704,-1.0782073,367993,4121770,35266,40582.642595529556,-2028.5612,-0.08789812,2.2694557,93.92347647307247
218601,641.0895,2305570,0.997756,0.97094727,0.1031753,-2.329689,368163,4123470,35281,40593.13817000389,-1998.742,-0.079292335,2.2000167,94.0215107092958
218691,642.7873,2306470,0.9977851,0.9734497,0.09084478,-0.46618095,368305,4124890,35296,40603.64043021202,-2007.6243,-0.079607084,1.5178471,93.60016876489551
218794,609.7114,2307500,0.9977648,0.9685669,0.10632694,-3.9864664,368473,4126570,35311,40614.16303753853,-1969.9479,-0.088202,1.7325405,89.45850626693372
218881,631.1051,2308370,0.99778366,0.9718628,0.09803049,-1.1770496,368612,4127960,35326,40624.635355472565,-1991.0808,-0.093414865,2.0105221,90.13054981774813
218983,647.4507,2309390,0.9977977,0.9658203,0.113148406,-6.491214,368779,4129630,35341,40635.10967540741,-2019.8334,-0.07379626,2.1822815,89.0985394615561
219076,642.40814,2310320,0.99777675,0.96795654,0.10593003,-5.23201,368923,4131070,35356,40645.58868646622,-2022.4971,-0.09830436,2.1130435,94.91549817690138
