actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
199,29850,-0.034473658,150,0.0,441,66150,0.68981534,0.6553417,0.2783907,277.059864109146,0.0,0.0
200,30000,0.10018712,150,0.0,443,66450,0.6133536,0.71354073,0.3871941,161.2054247804821,0.0,0.0
201,30150,0.09395832,150,0.0,445,66750,0.5916856,0.6856439,0.3447999,409.4091556279755,0.0,0.0
202,30300,0.089922786,150,0.0,447,67050,0.5884016,0.6783244,0.32770038,232.4908567984512,0.0,0.0
202,30300,-0.02636087,150,0.0,449,67350,0.6820492,0.65568835,0.27219346,401.91340610818105,0.0,0.0
202,30300,0.005203426,150,0.0,452,67800,0.6498288,0.6550322,0.27488744,376.39333513210505,0.0,0.0
202,30300,-0.017280817,150,0.0,455,68250,0.679227,0.6619462,0.2824683,392.4668788450046,0.0,0.0
202,30300,0.005175054,150,0.0,458,68700,0.657215,0.66239005,0.28651506,381.774689766073,0.0,0.0
203,30450,0.1240353,150,0.0,460,69000,0.5663666,0.6904019,0.3519463,176.54751298193824,0.0,0.0
205,30750,-0.034617007,150,0.0,462,69300,0.69038475,0.65576774,0.273491,142.49625099628034,0.0,0.0
206,30900,0.12761587,150,0.0,465,69750,0.5665625,0.69417834,0.36206236,188.38211820053772,0.0,0.0
206,30900,0.0018537045,150,0.0,468,70200,0.6658409,0.6676946,0.30440366,442.03550641751656,0.0,0.0
206,30900,0.10419965,150,0.0,471,70650,0.57212967,0.6763293,0.32379225,413.7142481382235,0.0,0.0
206,30900,-0.028460026,150,0.0,474,71100,0.69437885,0.6659188,0.3003194,400.00661225122997,0.0,0.0
206,30900,0.1637032,150,0.0,477,71550,0.54888576,0.71258897,0.38838136,343.71164186214725,0.0,0.0
208,31200,-0.03441745,150,0.0,479,71850,0.6890637,0.6546463,0.2810935,154.48914234414573,0.0,0.0
208,31200,0.12757617,150,0.0,481,72150,0.5490281,0.6766043,0.32630304,381.7146975899294,0.0,0.0
209,31350,0.11613637,150,0.0,483,72450,0.55905664,0.675193,0.32177833,261.8583561764708,0.0,0.0
209,31350,0.17530608,150,0.0,486,72900,0.53574365,0.71104974,0.38932493,397.46590418044946,0.0,0.0
209,31350,0.14853138,150,0.0,489,73350,0.5390307,0.68756205,0.34844473,434.39171960669375,0.0,0.0
209,31350,0.15657228,150,0.0,492,73800,0.52691394,0.6834862,0.34078622,427.1191135357957,0.0,0.0
210,31500,0.13772976,150,0.0,495,74250,0.53060925,0.668339,0.305878,233.96635903553792,0.0,0.0
212,31800,0.1788913,150,0.0,497,74550,0.51427996,0.69317126,0.36149314,139.42621550304483,0.0,0.0
213,31950,0.16029936,150,0.0,498,74700,0.51644003,0.6767394,0.32752743,148.79933247369772,0.0,0.0
213,31950,0.18726283,150,0.0,500,75000,0.52494204,0.7122049,0.38904658,351.87527370287904,0.0,0.0
214,32100,-0.03439349,150,0.0,502,75300,0.69134235,0.65694886,0.2749765,215.7011957846175,0.0,0.0
214,32100,0.17291802,150,0.0,505,75750,0.51436836,0.6872864,0.3487842,415.2754308888138,0.0,0.0
214,32100,0.14518058,150,0.0,508,76200,0.52313834,0.6683189,0.30241817,410.05303385315676,0.0,0.0
214,32100,0.17793494,150,0.0,511,76650,0.5065718,0.6845068,0.34333733,385.94077517496737,0.0,0.0
215,32250,0.18201137,150,0.0,513,76950,0.5143535,0.6963649,0.3667256,151.22983417844597,0.0,0.0
217,32550,0.18541521,150,0.0,515,77250,0.5063018,0.691717,0.35827452,169.55785287563128,0.0,0.0
217,32550,0.18959722,150,0.0,517,77550,0.4969643,0.6865615,0.3477518,398.2256790423528,0.0,0.0
218,32700,0.18997669,150,0.0,519,77850,0.50513995,0.69511664,0.36515182,227.20055468885423,0.0,0.0
218,32700,0.18800339,150,0.0,522,78300,0.49792007,0.68592346,0.3471118,425.99440580085,0.0,0.0
218,32700,0.16696471,150,0.0,525,78750,0.50079304,0.66775775,0.30524668,399.48846831310107,0.0,0.0
218,32700,0.1886062,150,0.0,528,79200,0.5268207,0.7154269,0.38834527,406.16111632951475,0.0,0.0
218,32700,0.19325006,150,0.0,531,79650,0.4947117,0.68796176,0.351234,417.4641438823143,0.0,0.0
219,32850,0.19167256,150,0.0,533,79950,0.48269856,0.6743711,0.32134813,185.3077045423753,0.0,0.0
220,33000,0.17888558,150,0.0,535,80250,0.52134144,0.700227,0.37529758,193.24362842905023,0.0,0.0
221,33150,0.09917307,150,0.0,537,80550,0.5593078,0.6584809,0.27956873,189.54233558522188,0.0,0.0
221,33150,0.16028911,150,0.0,540,81000,0.5447096,0.70499873,0.38444722,400.95901987251307,0.0,0.0
221,33150,0.19660988,150,0.0,543,81450,0.47824028,0.67485017,0.3248311,405.39377564939815,0.0,0.0
221,33150,0.19010776,150,0.0,546,81900,0.4953102,0.68541795,0.34686008,419.39405251544866,0.0,0.0
221,33150,0.19019198,150,0.0,549,82350,0.47692376,0.66711575,0.30772364,422.02642521698476,0.0,0.0
224,33600,0.19720307,150,0.0,551,82650,0.4802561,0.6774592,0.32998186,131.5058872367016,0.0,0.0
225,33750,0.120384336,150,0.0,553,82950,0.53349966,0.653884,0.2804331,168.1162379002358,0.0,0.0
226,33900,0.14643264,150,0.0,556,83400,0.51498663,0.6614193,0.287715,206.65586655157054,0.0,0.0
226,33900,0.19532213,150,0.0,559,83850,0.4778113,0.67313343,0.32070044,424.7539832568188,0.0,0.0
226,33900,0.16329849,150,0.0,562,84300,0.54075724,0.7040557,0.3826603,431.6738206848097,0.0,0.0
226,33900,0.19353202,150,0.0,565,84750,0.49176583,0.68529785,0.3463664,389.81655599636423,0.0,0.0
226,33900,0.16588545,150,0.0,568,85200,0.5412509,0.70713633,0.3882275,369.3612644378613,0.0,0.0
228,34200,0.18925232,150,0.0,569,85350,0.50242895,0.69168127,0.35892266,146.54993214607995,0.0,0.0
228,34200,0.156811,150,0.0,571,85650,0.54706407,0.70387506,0.3822784,366.4858932671909,0.0,0.0
230,34500,0.18957049,150,0.0,573,85950,0.48004323,0.6696137,0.30718964,181.0656629872892,0.0,0.0
230,34500,0.1533696,150,0.0,575,86250,0.55156356,0.70493317,0.3838957,405.5194604294289,0.0,0.0
230,34500,0.16501987,150,0.0,578,86700,0.5343534,0.69937325,0.37365812,379.6877263115205,0.0,0.0
230,34500,0.17200893,150,0.0,581,87150,0.5252662,0.6972751,0.36969525,411.22132574787054,0.0,0.0
230,34500,0.18061194,150,0.0,584,87600,0.48543307,0.666045,0.3026336,425.45656681232987,0.0,0.0
231,34650,0.18298125,150,0.0,587,88050,0.512174,0.69515526,0.365854,294.10830310733684,0.0,0.0
