actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
470,70500,0.20281604,0.18421741,0.19145374,0.13008955,150,0.0,0.47403952,0.5022854,0.490397,0.5520524,0.67685556,0.6865028,0.68185073,0.68214196,0.3302185,0.34540653,0.33794144,0.35351017,15.121746836801188,0.0,0.0
478,71700,0.17802593,0.1675431,0.18855685,0.13059963,150,0.0,0.49070933,0.51098096,0.49322262,0.55147547,0.66873527,0.6785241,0.6817794,0.68207514,0.31323746,0.3328174,0.33772042,0.3531518,16.717295862095572,0.0,0.0
486,72900,-0.0071638227,0.082710356,0.180326,0.12979926,150,0.0,0.68386316,0.59653175,0.50163305,0.5522248,0.67669934,0.67924213,0.6819591,0.6820241,0.32989782,0.33236092,0.33786348,0.35279608,15.978241300280098,0.0,0.0
494,74100,0.15320611,0.08293457,0.17492165,0.12933823,150,0.0,0.5305678,0.60293055,0.5076506,0.55272204,0.68377393,0.6858651,0.6825722,0.68206024,0.34417635,0.34542924,0.33899266,0.35263646,15.49820532163047,0.0,0.0
502,75300,0.14414161,0.06963389,0.16334198,0.12805124,150,0.0,0.53235394,0.6111149,0.51920336,0.5540329,0.67649555,0.6807488,0.6825454,0.68208414,0.3294798,0.3369276,0.33909202,0.35247755,15.043974072103834,0.0,0.0
510,76500,0.008321881,0.042739004,0.15183626,0.12670432,150,0.0,0.7012018,0.63769656,0.53081644,0.5553975,0.7095237,0.68043554,0.68265283,0.68210185,0.38853127,0.33684862,0.3394719,0.35230258,16.730998290322812,0.0,0.0
514,77100,0.00542444,0.036617875,0.1450963,0.12603286,150,0.0,0.7017263,0.6499067,0.5375274,0.5561015,0.70715076,0.6865245,0.6826237,0.68213433,0.38854563,0.3472116,0.33940202,0.3522566,14.911036906040234,0.0,0.0
522,78300,0.12439132,0.105476715,0.13896981,0.12581566,150,0.0,0.55643654,0.58544624,0.54471374,0.5564949,0.68082786,0.6909229,0.68368345,0.68231064,0.3382874,0.3531433,0.34108508,0.35234174,15.946533432826136,0.0,0.0
530,79500,0.30854937,0.1698722,0.13813306,0.12663552,150,0.0,0.38984135,0.5240717,0.54657465,0.55579877,0.6983907,0.6939439,0.6847078,0.6824343,0.36433974,0.34751314,0.3419747,0.3521947,16.728306891531002,0.0,0.0
538,80700,0.14248377,0.18904762,0.1352559,0.12717715,150,0.0,0.5329171,0.49179912,0.54936075,0.5552109,0.67540085,0.6808467,0.6846167,0.682388,0.3272565,0.33240777,0.34190696,0.3519208,14.824164365093907,0.0,0.0
